STATE,NUM_UNIT,CAUSE_IGN,FIRE_SPRD,BLDG_ABOVE,BLDG_BELOW,TOT_SQ_FT,FIRE_ORIG,FLAME_SPRD,DETECTOR,AES_PRES,INCIDENT_KEY,APP_MOD,response_time,last_unit_clear_time,accident_year,accident_month,accident_day,accident_hour,median_income_list,median_rent_list,Pct_HOU_Occupied_units_list,Pct_HHF_Utility_gas_list,Pct_DIS_With_disability_list,Pct_EDU_Bachelor_or_higher_list,Pct_HIC_With_coverage_list,Pct_SA_62_and_over_list,Pct_EMP_Pop_16_and_over_in_labor_force_Civilian_labor_force_Employed_list,temp,rhum,wspd,Minority populations,Black Alone,hum_1,AREA_ORIG_new,ACT_TAK1_new,FACT_IGN1_new,HEAT_SOURCE_new,FIRST_IGN_new,TYPE_MAT_new,PROP_USE_new,SUP_FAC_1_new,ITEM_SPRD_new,MAT_SPRD_new,build_time_1980_to_later_list,solar_or_no_fuel,coal_or_wood,HHS_Region,Census_Region,Census_Division,CBSA Title,CBSA Code,AREA_ORIG,HEAT_SOURC,FIRST_IGN,TYPE_MAT,FACT_IGN_1,SUP_FAC_1,STRUC_TYPE,STRUC_STAT,ITEM_SPRD,MAT_SPRD,DET_TYPE,AES_TYPE,AES_OPER,ACT_TAK1,LOC_TYPE,NUM_MILE,STREET_PRE,STREETNAME,STREETTYPE,STREETSUF,APT_NO,CITY,STATE_ID,ZIP5,ZIP4,X_STREET,FF_DEATH,OTH_DEATH,FF_INJ,OTH_INJ,DET_ALERT,PROP_USE,ON_SITE_M1,MAT_STOR1,EQUIP_INV,CAUSE_IGN_desc,AREA_ORIG_desc,HEAT_SOURC_desc,FIRST_IGN_desc,TYPE_MAT_desc,FACT_IGN_1_desc,ITEM_SPRD_desc,MAT_SPRD_desc,ACT_TAK1_desc,SUP_FAC_1_desc,AES_PRES_desc,DETECTOR_desc,hum_1_desc,PROP_USE_desc,ON_SITE_M1_desc,MAT_STOR1_desc,EQUIP_INV_desc,DET_TYPE_desc
IL,0.0,U,5,1.0,0.0,80.0,1.0,Y,U,N,IL_CS132_08062020_2005698_0,Y,4.0,38.0,2020,8,6,21,95496.53097345134,1392.7433628318586,95.2,88.3,10.1,41.1,95.6,26.7,59.3,26.7,40.0,14.8,0.0631941497990865,0.0510145506276986,N,4,1,UU_,UU_,UU_,not given_,4,9,not given_,not given_,54.900000000000006,0.5,0.0,Region 5 - Chicago,Midwest,East North Central,"Chicago-Naperville-Elgin, IL-IN",16980,43,UU,UU,,UU,NNN,1,2,,,,,,10,1,8203,,Bromley,ST,,,Orland Park,IL,60462,,,0,0,0,0,,419,,,UUU,Cause undetermined after investigation,Storage: supplies or tools; dead storage,Undetermined,Undetermined,,Undetermined,,,"Fire, other",,None Present,Undetermined,,1 or 2 family dwelling,,,Undetermined,
TX,1.0,4,3,2.0,0.0,2659.0,2.0,Y,1,N,TX_BB523_08142019_0056641_0,Y,4.0,196.0,2019,8,14,19,123632.67857142857,1700.035714285714,94.0,62.4,6.8,55.5,91.6,12.4,68.3,35.0,46.0,7.6,0.2147772113095561,0.2229952278977748,N,7,8,6,5,1,6,4,not given_,not given_,not given_,95.9,0.0,0.0,Region 6 - Dallas,South,West South Central,"Houston-Pasadena-The Woodlands, TX",26420,77,73,11,63,60,,1,2,,,U,,,81,1,4834,,PINDER,,,,PEARLAND,TX,77584,,,0,0,0,0,,419,,,,Act of nature,Roof surface: exterior,Lightning,Exterior roof covering or finish,"Sawn wood, including all finished lumber","Natural condition, other",,,Incident command,,None Present,Detectors Present,,1 or 2 family dwelling,,,,Undetermined
GA,1.0,5,4,2.0,0.0,1800.0,1.0,Y,U,N,GA_03801_12132022_22293_0,Y,3.0,185.0,2022,12,13,11,74853.0,1232.0,94.2,36.5,13.7,30.3,90.7,18.3,60.6,11.3,95.0,9.4,0.0441458410413373,0.2515556153509805,N,UU_,1,UU_,UU_,UU_,not given_,4,9,not given_,not given_,67.8,0.7,1.0,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,UU,UU,UU,,UU,NNN,1,2,,,,,,11,1,21,,OLD CARROLLTON Rd,,,,NEWNAN,GA,30263,,,0,0,0,0,U,419,,,,Cause under investigation,Undetermined,Undetermined,Undetermined,,Undetermined,,,Extinguish,,None Present,Undetermined,,1 or 2 family dwelling,,,,
IL,1.0,2,4,3.0,1.0,1000.0,1.0,Y,U,N,IL_LA401_09292019_0008951_0,N,4.0,121.0,2019,9,29,18,55786.741071428565,1094.1964285714284,93.5,74.8,10.8,16.1,82.8,11.5,62.7,16.9,93.0,16.6,0.3238195467620852,0.1978390514277695,N,2,1,2,UU_,2,9,4,not given_,1,6,30.1,0.8,0.0,Region 5 - Chicago,Midwest,East North Central,"Chicago-Naperville-Elgin, IL-IN",16980,24,UU,25,99,20,,1,2,17,63,,,,11,1,326,S,SHERIDAN,RD,,,Waukegan,IL,60085,,,0,0,0,0,U,419,711,N,646,Unintentional,"Cooking area, kitchen",Undetermined,Appliance housing or casing,Multiple types of material,"Mechanical failure, malfunction, other",Structural member or framing,63,Extinguish,,None Present,Undetermined,,1 or 2 family dwelling,Appliances,,"Range, stove with/without oven, cooking surface",
IL,1.0,2,2,1.0,0.0,1102.0,1.0,Y,U,N,IL_KA121_04212019_9006087_0,Y,3.0,14.0,2019,4,21,16,62416.419642857145,1268.116071428571,93.8,82.1,8.5,10.7,82.8,11.8,66.5,21.2,36.0,16.6,0.3116438834354971,0.0751916444419621,3,4,1,10,2,1,6,4,not given_,1,6,17.3,0.9,0.1,Region 5 - Chicago,Midwest,East North Central,"Chicago-Naperville-Elgin, IL-IN",16980,47,43,13,63,00,,1,2,17,66,,,,11,1,800,,AUSTIN,,,,Aurora,IL,60505,,,0,0,0,0,,419,,,,Unintentional,"Vehicle storage area; garage, carport",Hot ember or ash,"Exterior trim, including doors","Sawn wood, including all finished lumber",Other factor contributed to ignition,Structural member or framing,66,Extinguish,,None Present,Undetermined,Unattended or unsupervised person,1 or 2 family dwelling,,,,
CA,1.0,2,2,1.0,0.0,1800.0,1.0,Y,1,N,CA_19110_07102020_0203929_0,Y,5.0,25.0,2020,7,10,20,88452.90265486727,1751.2035398230091,96.7,76.8,8.7,20.0,92.1,15.1,58.7,30.7,40.0,9.4,0.4920071910985861,0.0137505466206695,N,1,8,10,1,1,6,4,9,1,6,10.1,4.9,0.2,Region 9 - San Francisco,West,Pacific,"Los Angeles-Long Beach-Anaheim, CA",31080,14,13,10,60,00,NNN,1,2,10,63,1,,,86,1,12216,,NITA,CT,,,Whittier,CA,90605,,,0,0,0,0,,419,,,NNN,Unintentional,"Common room, den, family room, living room, lounge",Arcing,"Structural component or finish, other","Wood or paper, processed, other",Other factor contributed to ignition,"Structural component or finish, other",63,Investigate,,None Present,Detectors Present,,1 or 2 family dwelling,,,,Smoke
CA,40.0,2,3,2.0,0.0,10000.0,1.0,Y,N,N,CA_19100_01252021_2104583_0,N,5.0,29.0,2021,1,25,18,72103.53719008264,1587.4462809917356,95.4,64.8,10.5,20.3,88.3,14.4,56.9,11.7,52.0,40.7,0.3306134486826583,0.1668305151395989,N,5,1,UU_,4,1,6,4,9,1,6,15.7,8.2,0.1,Region 9 - San Francisco,West,Pacific,"Los Angeles-Long Beach-Anaheim, CA",31080,50,60,10,63,UU,NNN,1,2,10,60,,,,10,1,2366,,LIME AV,,,,Long Beach,CA,90806,,,0,0,0,0,,429,NNN,N,NNN,Unintentional,"Service facilities, other",Heat from other open flame or smoking materials,"Structural component or finish, other","Sawn wood, including all finished lumber",Undetermined,"Structural component or finish, other",60,"Fire, other",,None Present,None Present,,Multifamily dwellings,,,,
CA,1.0,2,2,2.0,1.0,600.0,1.0,Y,N,N,CA_19185_12292019_01113_0,Y,6.0,127.0,2019,12,29,7,122917.41964285712,1983.375,88.9,79.9,9.6,62.9,95.1,24.9,63.7,10.9,79.0,0.0,0.1846892603195124,0.0453412134084403,N,2,1,1,1,2,6,4,not given_,1,6,14.0,0.4,0.0,Region 9 - San Francisco,West,Pacific,"Los Angeles-Long Beach-Anaheim, CA",31080,20,12,23,60,12,,1,2,10,60,,,,11,1,601,,Woodland,DR,,,Sierra Madre,CA,91024,,,0,0,0,0,U,419,NNN,N,141,Unintentional,"Function area, other","Radiated, conducted heat from operating equipment",Cabinetry (including built-in),"Wood or paper, processed, other",Heat source too close to combustibles.,"Structural component or finish, other",60,Extinguish,,None Present,None Present,,1 or 2 family dwelling,,,"Heater, excluding catalytic and oil-filled heaters",
CA,20.0,1,4,1.0,0.0,900.0,1.0,N,U,N,CA_19105_06192019_157_0,N,6.0,176.0,2019,6,19,3,96627.9107142857,2173.4196428571427,92.1,65.6,11.6,39.3,92.5,18.7,60.5,19.7,78.0,13.0,0.3975157283432812,0.0619777383448943,N,2,1,11,4,3,7,3,not given_,not given_,not given_,29.6,2.3000000000000003,0.0,Region 9 - San Francisco,West,Pacific,"Los Angeles-Long Beach-Anaheim, CA",31080,21,65,34,71,NN,,1,2,,,,,,11,1,09531,N,BOTHWELL,RD,,,NORTHRIDGE,CA,91324,,BOTHWELL                    RD,0,0,0,0,U,322,NNN,,,Intentional,Bedroom - < 5 persons; included are jail or prison,Cigarette lighter,Wearing apparel not on a person,"Fabric, fiber, cotton, blends, rayon, wool",,,,Extinguish,,None Present,Undetermined,,Alcohol or substance abuse recovery center,,,,
TX,50.0,2,4,4.0,0.0,4000.0,4.0,Y,N,N,TX_KA458_03292021_0000510_0,N,7.0,479.0,2021,3,29,15,67449.94214876034,1318.7851239669424,89.8,25.2,12.2,45.1,82.6,18.5,65.7,17.0,55.0,18.4,0.187068389396302,0.0578636667409222,N,7,1,UU_,1,UU_,not given_,4,not given_,not given_,not given_,53.0,0.5,0.0,Region 6 - Dallas,South,West South Central,"Houston-Pasadena-The Woodlands, TX",26420,72,11,UU,,UU,,1,2,,,,,,10,1,401,,LAKESIDE,LN,,,NASSAU BAY,TX,77058,,,0,0,0,0,,429,,,316,Unintentional,"Exterior balcony, unenclosed porch","Spark, ember or flame from operating equipment",Undetermined,,Undetermined,,,"Fire, other",,None Present,None Present,,Multifamily dwellings,,,"Power sander, grinder, buffer, polisher",
