STATE,NUM_UNIT,CAUSE_IGN,FIRE_SPRD,BLDG_ABOVE,BLDG_BELOW,TOT_SQ_FT,FIRE_ORIG,FLAME_SPRD,DETECTOR,AES_PRES,INCIDENT_KEY,APP_MOD,response_time,last_unit_clear_time,accident_year,accident_month,accident_day,accident_hour,median_income_list,median_rent_list,Pct_HOU_Occupied_units_list,Pct_HHF_Utility_gas_list,Pct_DIS_With_disability_list,Pct_EDU_Bachelor_or_higher_list,Pct_HIC_With_coverage_list,Pct_SA_62_and_over_list,Pct_EMP_Pop_16_and_over_in_labor_force_Civilian_labor_force_Employed_list,temp,rhum,wspd,Minority populations,Black Alone,hum_1,AREA_ORIG_new,ACT_TAK1_new,FACT_IGN1_new,HEAT_SOURCE_new,FIRST_IGN_new,TYPE_MAT_new,PROP_USE_new,SUP_FAC_1_new,ITEM_SPRD_new,MAT_SPRD_new,build_time_1980_to_later_list,solar_or_no_fuel,coal_or_wood,HHS_Region,Census_Region,Census_Division,CBSA Title,CBSA Code,AREA_ORIG,HEAT_SOURC,FIRST_IGN,TYPE_MAT,FACT_IGN_1,SUP_FAC_1,STRUC_TYPE,STRUC_STAT,ITEM_SPRD,MAT_SPRD,DET_TYPE,AES_TYPE,AES_OPER,ACT_TAK1,LOC_TYPE,NUM_MILE,STREET_PRE,STREETNAME,STREETTYPE,STREETSUF,APT_NO,CITY,STATE_ID,ZIP5,ZIP4,X_STREET,FF_DEATH,OTH_DEATH,FF_INJ,OTH_INJ,DET_ALERT,PROP_USE,ON_SITE_M1,MAT_STOR1,EQUIP_INV,CAUSE_IGN_desc,AREA_ORIG_desc,HEAT_SOURC_desc,FIRST_IGN_desc,TYPE_MAT_desc,FACT_IGN_1_desc,ITEM_SPRD_desc,MAT_SPRD_desc,ACT_TAK1_desc,SUP_FAC_1_desc,AES_PRES_desc,DETECTOR_desc,hum_1_desc,PROP_USE_desc,ON_SITE_M1_desc,MAT_STOR1_desc,EQUIP_INV_desc,DET_TYPE_desc
NJ,4.0,5,2,2.0,1.0,750.0,1.0,N,1,N,NJ_02030_02102012_0000081_0,Y,3.0,88.0,2012,2,10,16,104130.09,1508.01,94.3,85.7,7.9,39.0,86.3,17.2,66.0,5.6,41.0,7.6,0.35409306171540256,0.049800796812749,N,2,1,UU_,8,3,7,4,9,not given_,not given_,13.3,0.2,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,26,00,34,70,UU,NNN,1,2,,,5,,,11,1,17,,GEORGIAN,CT,,SUPER,BERGENFIELD,NJ,07621,,,0,0,0,0,,429,,,,Cause under investigation,"Laundry area, wash house (laundry)",Heat source: other,Wearing apparel not on a person,"Fabric, textile, fur, other",Undetermined,nan,nan,Extinguish,,None Present,Detectors Present,,Multifamily dwellings,nan,nan,nan,More than 1 type present
NJ,1.0,2,4,2.0,1.0,1000.0,1.0,N,1,N,NJ_02030_02252012_0000108_0,Y,13.0,27.0,2012,2,25,15,104130.09,1508.01,94.3,85.7,7.9,39.0,86.3,17.2,66.0,5.0,39.0,27.7,0.35409306171540256,0.049800796812749,N,2,1,1,4,1,11,4,not given_,not given_,not given_,13.3,0.2,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,24,69,18,00,13,,1,2,,,1,,,11,1,68,,HILLSIDE,AVE,,,BERGENFIELD,NJ,07621,,,0,0,0,0,U,419,,,,Unintentional,"Cooking area, kitchen",Flame/torch used for lighting,Insulation within structural area,"Type of material first ignited, other","Cutting, welding too close to combustible",nan,nan,Extinguish,nan,None Present,Detectors Present,,1 or 2 family dwelling,nan,nan,nan,Smoke
NJ,0.0,5,2,1.0,0.0,1200.0,1.0,Y,N,N,NJ_02030_04302012_0000216_0,Y,9.0,35.0,2012,4,30,11,104130.09,1508.01,94.3,85.7,7.9,39.0,86.3,17.2,66.0,5.6,44.0,0.0,0.35409306171540256,0.049800796812749,N,6,1,UU_,2,6,2,11,not given_,not given_,not given_,13.3,0.2,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,60,40,65,23,UU,,1,2,,,,,,11,1,49,W,CHURCH,ST,,D,Bergenfield,NJ,07621,,,0,0,0,0,,NNN,813,4,,Cause under investigation,"Equipment or service area, other","Hot or smoldering object, other",Flammable liquid/gas - uncontained,Gasoline,Undetermined,nan,nan,Extinguish,nan,None Present,None Present,,,"Motor vehicle parts, not including tires",Repair or service,nan,nan
NJ,2.0,U,3,2.0,1.0,1500.0,2.0,Y,1,N,NJ_02030_06292012_0000322_0,Y,0.0,142.0,2012,6,29,7,104130.09,1508.01,94.3,85.7,7.9,39.0,86.3,17.2,66.0,23.9,62.0,0.0,0.35409306171540256,0.049800796812749,N,7,2,UU_,UU_,1,UU_,4,not given_,not given_,not given_,13.3,0.2,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,75,UU,17,UU,UU,,1,2,,,1,,,21,1,39,N,VIVYEN,ST,,,BERGENFIELD,NJ,07621,,,0,0,0,0,,419,,,,Cause undetermined after investigation,Wall assembly,Undetermined,Structural member or framing,Undetermined,Undetermined,nan,nan,Search,nan,None Present,Detectors Present,,1 or 2 family dwelling,nan,nan,nan,Smoke
NJ,1.0,5,4,2.0,1.0,900.0,-1.0,Y,U,N,NJ_02030_11042012_0000641_0,Y,2.0,234.0,2012,11,4,19,104130.09,1508.01,94.3,85.7,7.9,39.0,86.3,17.2,66.0,10.0,50.0,22.3,0.35409306171540256,0.049800796812749,N,UU_,1,11,UU_,UU_,not given_,4,9,not given_,not given_,13.3,0.2,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,UU,UU,UU,,NN,NNN,1,2,,,,,,11,1,42,,REID,AVE,,,BERGENFIELD,NJ,07621,,,0,0,1,0,U,419,,,,Cause under investigation,Undetermined,Undetermined,Undetermined,nan,,nan,nan,Extinguish,,None Present,Undetermined,,1 or 2 family dwelling,nan,nan,nan,nan
NJ,0.0,5,2,3.0,1.0,1.0,1.0,N,1,N,NJ_02030_11132012_0000674_0,Y,3.0,19.0,2012,11,13,9,104130.09,1508.01,94.3,85.7,7.9,39.0,86.3,17.2,66.0,15.0,83.0,27.7,0.35409306171540256,0.049800796812749,3,2,8,1,4,8,6,2,9,not given_,not given_,13.3,0.2,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,25,60,92,67,19,NNN,1,2,,,1,,,80,1,130,S,WASHINGTON,AVE,,,Bergenfield,NJ,07621,,,0,0,0,0,2,215,,,,Cause under investigation,"Bathroom, checkroom, lavatory, locker room",Heat from other open flame or smoking materials,"Magazine, newspaper, writing paper","Paper, including cellulose, waxed paper",Playing with heat source,nan,nan,"Information, investigation & enforcement, other",,None Present,Detectors Present,Unattended or unsupervised person,High school/junior high school/middle school,nan,nan,nan,Smoke
NJ,0.0,5,2,3.0,1.0,3600.0,1.0,Y,1,2,NJ_02070_05202012_0000109_0,Y,3.0,92.0,2012,5,20,1,151172.52000000002,2390.37,97.9,90.9,4.1,59.2,89.0,14.6,58.9,18.0,52.0,11.2,0.31785161367154935,0.007383589377158509,N,2,1,UU_,UU_,UU_,not given_,1,not given_,not given_,not given_,22.0,0.0,0.2,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,24,UU,UU,,UU,,1,2,,,2,U,,11,1,190,,Closter Dock,RD,,,Closter,NJ,07624,,,0,0,0,0,,161,110,N,,Cause under investigation,"Cooking area, kitchen",Undetermined,Undetermined,nan,Undetermined,nan,nan,Extinguish,nan,Partial system present,Detectors Present,,Restaurant or cafeteria,"Food, other",,nan,Heat
NJ,1.0,2,4,2.0,1.0,3200.0,1.0,Y,1,N,NJ_02090_02102012_21_0,Y,2.0,176.0,2012,2,10,22,185511.03,2581.29,94.6,93.1,6.3,67.9,93.0,16.7,59.7,7.2,44.0,13.0,0.25626400488897944,0.0008148299042574863,N,7,1,UU_,1,1,6,4,not given_,1,6,20.0,0.0,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,75,11,17,63,UU,,1,2,17,63,1,,,11,1,68,,Holland,AVE,,,Demarest,NJ,07627,,,0,0,0,0,1,419,NNN,N,122,Unintentional,Wall assembly,"Spark, ember or flame from operating equipment",Structural member or framing,"Sawn wood, including all finished lumber",Undetermined,Structural member or framing,63,Extinguish,nan,None Present,Detectors Present,,1 or 2 family dwelling,,,"Fireplace, factory built",Smoke
NJ,1.0,3,4,3.0,1.0,1200.0,1.0,Y,1,N,NJ_02090_04222012_55_0,Y,5.0,72.0,2012,4,22,12,185511.03,2581.29,94.6,93.1,6.3,67.9,93.0,16.7,59.7,10.0,74.0,14.8,0.25626400488897944,0.0008148299042574863,N,2,1,UU_,1,3,7,4,not given_,3,UU_,20.0,0.0,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,26,12,34,71,UU,,1,2,34,UU,1,,,11,1,22,,Madison,AVE,,,Demarest,NJ,07627,,,0,0,0,0,1,419,NNN,N,811,Failure of equipment or heat source,"Laundry area, wash house (laundry)","Radiated, conducted heat from operating equipment",Wearing apparel not on a person,"Fabric, fiber, cotton, blends, rayon, wool",Undetermined,Wearing apparel not on a person,UU,Extinguish,nan,None Present,Detectors Present,,1 or 2 family dwelling,,,Clothes dryer,Smoke
NJ,1.0,4,4,2.0,0.0,1200.0,1.0,N,U,N,NJ_02090_10292012_195_0,Y,3.0,59.0,2012,10,29,21,185511.03,2581.29,94.6,93.1,6.3,67.9,93.0,16.7,59.7,15.6,92.0,37.1,0.25626400488897944,0.0008148299042574863,N,4,1,6,1,1,UU_,4,not given_,not given_,not given_,20.0,0.0,0.0,Region 2 - New York,Northeast,Middle Atlantic,"New York-Newark-Jersey City, NY-NJ",35620,47,13,12,UU,61,,1,2,,,,,,11,1,96,,Holland,AVE,,,Demarest,NJ,07627,,,0,0,0,0,U,419,NNN,N,UUU,Act of nature,"Vehicle storage area; garage, carport",Arcing,Exterior wall covering or finish,Undetermined,High wind,nan,nan,Extinguish,nan,None Present,Undetermined,,1 or 2 family dwelling,,,Undetermined,nan
