STATE,NUM_UNIT,CAUSE_IGN,FIRE_SPRD,BLDG_ABOVE,BLDG_BELOW,TOT_SQ_FT,FIRE_ORIG,FLAME_SPRD,DETECTOR,AES_PRES,INCIDENT_KEY,APP_MOD,response_time,last_unit_clear_time,accident_year,accident_month,accident_day,accident_hour,median_income_list,median_rent_list,Pct_HOU_Occupied_units_list,Pct_HHF_Utility_gas_list,Pct_DIS_With_disability_list,Pct_EDU_Bachelor_or_higher_list,Pct_HIC_With_coverage_list,Pct_SA_62_and_over_list,Pct_EMP_Pop_16_and_over_in_labor_force_Civilian_labor_force_Employed_list,temp,rhum,wspd,Minority populations,Black Alone,hum_1,AREA_ORIG_new,ACT_TAK1_new,FACT_IGN1_new,HEAT_SOURCE_new,FIRST_IGN_new,TYPE_MAT_new,PROP_USE_new,SUP_FAC_1_new,ITEM_SPRD_new,MAT_SPRD_new,build_time_1980_to_later_list,solar_or_no_fuel,coal_or_wood,HHS_Region,Census_Region,Census_Division,CBSA Title,CBSA Code,AREA_ORIG,HEAT_SOURC,FIRST_IGN,TYPE_MAT,FACT_IGN_1,SUP_FAC_1,STRUC_TYPE,STRUC_STAT,ITEM_SPRD,MAT_SPRD,DET_TYPE,AES_TYPE,AES_OPER,ACT_TAK1,LOC_TYPE,NUM_MILE,STREET_PRE,STREETNAME,STREETTYPE,STREETSUF,APT_NO,CITY,STATE_ID,ZIP5,ZIP4,X_STREET,FF_DEATH,OTH_DEATH,FF_INJ,OTH_INJ,DET_ALERT,PROP_USE,ON_SITE_M1,MAT_STOR1,EQUIP_INV,CAUSE_IGN_desc,AREA_ORIG_desc,HEAT_SOURC_desc,FIRST_IGN_desc,TYPE_MAT_desc,FACT_IGN_1_desc,ITEM_SPRD_desc,MAT_SPRD_desc,ACT_TAK1_desc,SUP_FAC_1_desc,AES_PRES_desc,DETECTOR_desc,hum_1_desc,PROP_USE_desc,ON_SITE_M1_desc,MAT_STOR1_desc,EQUIP_INV_desc,DET_TYPE_desc
GA,1,5,3,2,0,500,2,Y,N,N,GA_00701_02252019_1901583_0,Y,5,114,2019,2,25,11,80912.94643,1423.607143,93.2,21.4,13.5,19.7,82.9,12.7,60,5.2,48,5.4,0.073964668,0.093541848,3,2,8,1,4,3,7,4,9,not given_,not given_,88,0.7,1.3,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,21,65,32,71,19,NNN,1,2,,,,,,81,1,1513,,WILLOW GATE,WAY,,,City of Auburn,GA,30011,,,0,0,0,0,,419,,,NNN,Cause under investigation,Bedroom - < 5 persons; included are jail or prison,Cigarette lighter,"Bedding; blanket, sheet, comforter","Fabric, fiber, cotton, blends, rayon, wool",Playing with heat source,,,Incident command,,None Present,None Present,Unattended or unsupervised person,1 or 2 family dwelling,,,,
GA,1,5,4,2,0,1400,1,Y,U,N,GA_00701_03182019_1902156_0,Y,9,461,2019,3,18,4,81460.04464,1406.330357,94.8,10,11.2,21.2,85.1,14.7,62.3,12.7,32,9.4,0.071291081,0.131389463,1,2,1,5,1,1,9,4,9,not given_,not given_,91,0,1.2,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,24,12,15,99,53,NNN,1,2,,,,,,11,1,344,,LOKEYS RIDGE,RD,,,Bethlehem,GA,30620,,,0,0,0,0,,419,,,124,Cause under investigation,"Cooking area, kitchen","Radiated, conducted heat from operating equipment","Interior wall covering excluding drapes, etc.",Multiple types of material,Equipment unattended,,,Extinguish,,None Present,Undetermined,Asleep,1 or 2 family dwelling,,,"Stove, heating",
GA,0,2,4,1,1,1500,1,Y,1,N,GA_00701_04282019_1903249_0,Y,8,40,2019,4,28,2,67706.57143,1173.669643,96.4,15.4,13,26.5,90,15.3,64,20.7,40,9.4,0.102681355,0.129079194,1,7,8,1,2,4,5,4,9,not given_,not given_,81.2,0.1,0.9,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,72,43,44,50,12,NNN,1,2,,,1,,,81,1,565,,PROVIDENCE,CIR,,,Statham,GA,30666,,,0,0,0,0,2,419,,,NNN,Unintentional,"Exterior balcony, unenclosed porch",Hot ember or ash,"Chips, including wood chips","Natural product, other",Heat source too close to combustibles.,,,Incident command,,None Present,Detectors Present,Asleep,1 or 2 family dwelling,,,,Smoke
GA,1,2,2,1,0,1500,1,Y,U,N,GA_00701_07302019_1906026_0,Y,7,119,2019,7,30,12,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,22.5,95,0,0.06662741,0.125512519,1,2,1,1,1,2,6,4,9,not given_,not given_,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,24,12,23,63,10,NNN,1,2,,,,,,11,1,310,,CHIMNEY TRACE,DR,,,Winder,GA,30680,,,0,0,0,0,,419,,,NNN,Unintentional,"Cooking area, kitchen","Radiated, conducted heat from operating equipment",Cabinetry (including built-in),"Sawn wood, including all finished lumber","Misuse of material or product, other",,,Extinguish,,None Present,Undetermined,Asleep,1 or 2 family dwelling,,,,
GA,1,2,2,2,1,1800,2,Y,U,N,GA_00701_11042019_1908938_0,Y,6,37,2019,11,4,11,80912.94643,1423.607143,93.2,21.4,13.5,19.7,82.9,12.7,60,4.7,87,5.4,0.073964668,0.093541848,N,2,8,5,1,2,7,4,9,not given_,not given_,88,0.7,1.3,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,26,10,25,71,55,NNN,1,2,,,,,,81,1,1609,,RIVER GLEN,RD,,,Auburn,GA,30011,,,0,0,0,0,,419,,,811,Unintentional,"Laundry area, wash house (laundry)","Heat from powered equipment, other",Appliance housing or casing,"Fabric, fiber, cotton, blends, rayon, wool",Failure to clean,,,Incident command,,None Present,Undetermined,,1 or 2 family dwelling,,,Clothes dryer,
GA,1,2,4,1,0,1200,1,Y,N,N,GA_00701_11162019_1909249_0,Y,5,121,2019,11,16,20,80912.94643,1423.607143,93.2,21.4,13.5,19.7,82.9,12.7,60,19.1,46,13,0.073964668,0.093541848,3,7,1,1,1,5,6,4,9,not given_,not given_,88,0.7,1.3,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,72,10,51,60,12,NNN,1,2,,,,,,11,1,1444,,CARLBETHLEHEM,RD,,,City of Auburn,GA,30011,,,0,0,0,0,2,419,,,144,Unintentional,"Exterior balcony, unenclosed porch","Heat from powered equipment, other","Box, carton, bag, basket, barrel","Wood or paper, processed, other",Heat source too close to combustibles.,,,Extinguish,,None Present,None Present,Unattended or unsupervised person,1 or 2 family dwelling,,,Heat lamp,
GA,1,5,4,1,0,1500,1,Y,N,N,GA_00701_12032019_1909797_0,Y,6,168,2019,12,3,18,67706.57143,1173.669643,96.4,15.4,13,26.5,90,15.3,64,9.7,49,16.6,0.102681355,0.129079194,N,UU_,1,UU_,UU_,UU_,not given_,4,9,not given_,not given_,81.2,0.1,0.9,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,UU,UU,UU,,UU,NNN,1,2,,,,,,11,1,2125,,DOOLEY TOWN,RD,,,Statham,GA,30666,,,0,0,0,0,,419,,,NNN,Cause under investigation,Undetermined,Undetermined,Undetermined,,Undetermined,,,Extinguish,,None Present,None Present,,1 or 2 family dwelling,,,,
GA,1,1,2,1,0,1600,0,Y,N,N,GA_00701_12122019_1910097_0,Y,8,39,2019,12,12,5,81460.04464,1406.330357,94.8,10,11.2,21.2,85.1,14.7,62.3,1.7,86,0,0.071291081,0.131389463,3,2,1,1,4,3,7,4,9,not given_,not given_,91,0,1.2,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,21,64,31,71,19,NNN,1,2,,,,,,11,1,643,,TANNERS BRIDGE,CIR,,,Town of Bethlehem,GA,30620,,,0,0,0,0,,419,242,N,NNN,Intentional,Bedroom - < 5 persons; included are jail or prison,Match,"Mattress, pillow","Fabric, fiber, cotton, blends, rayon, wool",Playing with heat source,,,Extinguish,,None Present,None Present,Unattended or unsupervised person,1 or 2 family dwelling,"Beds, mattresses",,,
GA,1,2,2,1,0,1100,1,Y,1,N,GA_00703_01192019_2190060_0,Y,4,111,2019,1,19,13,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,11.7,87,5.4,0.06662741,0.125512519,N,2,1,3,1,8,not given_,4,9,3,7,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,25,13,81,,30,NNN,1,2,31,71,1,,,11,1,18,,Windsor,DR,,,Winder,GA,30680,,,0,0,0,0,1,419,,,263,Unintentional,"Bathroom, checkroom, lavatory, locker room",Arcing,"Electrical wire, cable insulation",,"Electrical failure, malfunction, other","Mattress, pillow",71,Extinguish,,None Present,Detectors Present,,1 or 2 family dwelling,,,Extension cord,Smoke
GA,1,2,2,1,0,0,1,Y,U,N,GA_00703_02052019_1190162_0,Y,3,34,2019,2,5,17,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,23.7,60,11.2,0.06662741,0.125512519,N,2,8,1,1,UU_,not given_,4,9,not given_,not given_,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,26,13,UU,,12,NNN,1,2,,,,,,87,1,61,E,New,ST,,,Winder,GA,30680,,,0,0,0,0,U,419,,,,Unintentional,"Laundry area, wash house (laundry)",Arcing,Undetermined,,Heat source too close to combustibles.,,,Investigate fire out on arrival,,None Present,Undetermined,,1 or 2 family dwelling,,,,
GA,1,2,2,1,0,1096,1,Y,U,N,GA_00703_04232019_2190367_0,Y,5,35,2019,4,23,16,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,28.7,34,13,0.06662741,0.125512519,3,2,8,5,2,7,not given_,4,9,not given_,not given_,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,24,42,76,,53,NNN,1,2,,,,,,81,1,92,,Horton,ST,,,Winder,GA,30680,,,0,0,0,0,U,419,,,NNN,Unintentional,"Cooking area, kitchen","Molten, hot material","Cooking materials, including edible materials",,Equipment unattended,,,Incident command,,None Present,Undetermined,Unattended or unsupervised person,1 or 2 family dwelling,,,,
GA,1,3,4,2,0,1800,2,Y,1,N,GA_00703_05162019_1190657_0,Y,6,38,2019,5,16,5,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,18.7,88,0,0.06662741,0.125512519,N,2,8,3,1,UU_,not given_,4,not given_,not given_,not given_,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,25,10,UU,,30,,1,2,,,U,,,87,1,72,,SIMS,RD,,,WINDER,GA,30680,,,0,0,0,0,,419,,,,Failure of equipment or heat source,"Bathroom, checkroom, lavatory, locker room","Heat from powered equipment, other",Undetermined,,"Electrical failure, malfunction, other",,,Investigate fire out on arrival,,None Present,Detectors Present,,1 or 2 family dwelling,,,,Undetermined
GA,1,2,2,2,0,800,1,Y,1,N,GA_00703_09072019_199731_0,Y,5,18,2019,9,7,14,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,30.7,55,11.2,0.06662741,0.125512519,N,2,8,11,1,7,not given_,4,9,not given_,not given_,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,24,10,76,,NN,NNN,1,2,,,1,,,87,1,490,,GAINESVILLE,HWY,,E2,Winder,GA,30680,,,0,0,0,0,1,429,,,NNN,Unintentional,"Cooking area, kitchen","Heat from powered equipment, other","Cooking materials, including edible materials",,,,,Investigate fire out on arrival,,None Present,Detectors Present,,Multifamily dwellings,,,,Smoke
GA,1,5,4,1,0,1000,1,Y,U,N,GA_00703_11092019_1910200_0,Y,5,145,2019,11,9,5,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,7.7,76,5.4,0.06662741,0.125512519,N,UU_,1,UU_,UU_,UU_,not given_,4,9,not given_,not given_,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,UU,UU,UU,,UU,NNN,1,2,,,,,,11,1,108,,Duke,ST,,,Winder,GA,30680,,,0,0,0,0,,419,,,NNN,Cause under investigation,Undetermined,Undetermined,Undetermined,,Undetermined,,,Extinguish,,None Present,Undetermined,,1 or 2 family dwelling,,,,
GA,1,U,2,1,0,1200,1,Y,N,N,GA_00703_11242019_1910330_0,Y,0,70,2019,11,24,15,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,9.7,61,16.6,0.06662741,0.125512519,N,UU_,1,UU_,UU_,1,UU_,4,9,not given_,not given_,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,UU,UU,12,UU,UU,NNN,1,2,,,,,,11,1,127,,LILY,DR,,,Winder,GA,30680,,,0,0,0,0,2,419,,,UUU,Cause undetermined after investigation,Undetermined,Undetermined,Exterior wall covering or finish,Undetermined,Undetermined,,,Extinguish,,None Present,None Present,,1 or 2 family dwelling,,,Undetermined,
GA,1,5,4,1,0,900,0,Y,U,N,GA_00703_12132019_1910511_0,Y,4,85,2019,12,13,12,71525.89286,1172.517857,93.4,23.8,13.5,20.5,85.4,15.1,64.3,2.7,100,9.4,0.06662741,0.125512519,N,2,1,3,1,8,not given_,4,9,not given_,not given_,76,0.6,0.7,Region 4 - Atlanta,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",12060,21,13,81,,33,NNN,1,2,,,,,,11,1,166,E,Wright,ST,,,Winder,GA,30680,,,0,0,0,0,,419,,,NNN,Cause under investigation,Bedroom - < 5 persons; included are jail or prison,Arcing,"Electrical wire, cable insulation",,"Short circuit arc from defective, worn insulation",,,Extinguish,,None Present,Undetermined,,1 or 2 family dwelling,,,,
