STATE,NUM_UNIT,CAUSE_IGN,FIRE_SPRD,BLDG_ABOVE,BLDG_BELOW,TOT_SQ_FT,FIRE_ORIG,FLAME_SPRD,DETECTOR,AES_PRES,INCIDENT_KEY,APP_MOD,response_time,last_unit_clear_time,accident_year,accident_month,accident_day,accident_hour,median_income_list,median_rent_list,Pct_HOU_Occupied_units_list,Pct_HHF_Utility_gas_list,Pct_DIS_With_disability_list,Pct_EDU_Bachelor_or_higher_list,Pct_HIC_With_coverage_list,Pct_SA_62_and_over_list,Pct_EMP_Pop_16_and_over_in_labor_force_Civilian_labor_force_Employed_list,temp,rhum,wspd,Minority populations,Black Alone,hum_1,AREA_ORIG_new,ACT_TAK1_new,FACT_IGN1_new,HEAT_SOURCE_new,FIRST_IGN_new,TYPE_MAT_new,PROP_USE_new,SUP_FAC_1_new,ITEM_SPRD_new,MAT_SPRD_new,build_time_1980_to_later_list,solar_or_no_fuel,coal_or_wood,HHS_Region,Census_Region,Census_Division,CBSA Title,CBSA Code,AREA_ORIG,HEAT_SOURC,FIRST_IGN,TYPE_MAT,FACT_IGN_1,SUP_FAC_1,STRUC_TYPE,STRUC_STAT,ITEM_SPRD,MAT_SPRD,DET_TYPE,AES_TYPE,AES_OPER,ACT_TAK1,LOC_TYPE,NUM_MILE,STREET_PRE,STREETNAME,STREETTYPE,STREETSUF,APT_NO,CITY,STATE_ID,ZIP5,ZIP4,X_STREET,FF_DEATH,OTH_DEATH,FF_INJ,OTH_INJ,DET_ALERT,PROP_USE,ON_SITE_M1,MAT_STOR1,EQUIP_INV,CAUSE_IGN_desc,AREA_ORIG_desc,HEAT_SOURC_desc,FIRST_IGN_desc,TYPE_MAT_desc,FACT_IGN_1_desc,ITEM_SPRD_desc,MAT_SPRD_desc,ACT_TAK1_desc,SUP_FAC_1_desc,AES_PRES_desc,DETECTOR_desc,hum_1_desc,PROP_USE_desc,ON_SITE_M1_desc,MAT_STOR1_desc,EQUIP_INV_desc,DET_TYPE_desc
DC,1.0,5,4,1.0,0.0,600.0,2.0,Y,1,N,DC_11001_01012012_0000251_0,N,1.0,253.0,2012,1,1,9,76059.69,1424.16,86.1,66.3,13.7,45.0,91.9,11.6,61.9,5.0,82.0,7.6,0.0500881449575632,0.5942060592842993,N,2,8,UU_,UU_,UU_,not given_,4,not given_,1,6,7.3,0.6,0.0,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,21,UU,UU,,UU,,1,2,15,63,1,,,86,1,635,,M,ST,NE,,WASHINGTON,DC,20002,,,0,0,0,0,1,419,NNN,,,Cause under investigation,Bedroom - < 5 persons; included are jail or prison,Undetermined,Undetermined,nan,Undetermined,"Interior wall covering excluding drapes, etc.",63,Investigate,nan,None Present,Detectors Present,,1 or 2 family dwelling,,nan,nan,Smoke
DC,1.0,2,2,3.0,0.0,1000.0,2.0,Y,U,U,DC_11001_01022012_0000865_0,N,7.0,18.0,2012,1,2,21,41819.22,1123.59,81.7,52.8,16.4,14.8,92.7,10.0,41.8,4.4,34.0,25.9,0.0123624430676964,0.8992899374805511,N,2,8,UU_,4,7,not given_,4,not given_,7,not given_,20.3,0.5,0.1,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,24,60,76,,UU,,1,2,76,,,,,86,1,862,,H R,DR,SE,,WASHINGTON,DC,20032,,,0,0,0,0,U,419,NNN,,,Unintentional,"Cooking area, kitchen",Heat from other open flame or smoking materials,"Cooking materials, including edible materials",nan,Undetermined,"Cooking materials, including edible materials",nan,Investigate,nan,Undetermined,Undetermined,,1 or 2 family dwelling,,nan,nan,nan
DC,1.0,2,2,10.0,0.0,1.0,2.0,Y,1,N,DC_11001_01032012_0001089_0,N,2.0,112.0,2012,1,3,12,95159.43000000001,1554.45,84.2,53.2,14.3,62.4,95.2,20.4,68.2,-1.1,53.0,18.4,0.08050883633569537,0.486041150858021,3,2,8,10,4,3,7,4,not given_,not given_,not given_,12.8,1.2,0.0,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,25,66,33,71,00,,1,2,,,1,,,87,1,325,,P,ST,SW,206,WASHINGTON,DC,20024,,,0,0,0,0,1,429,NNN,,,Unintentional,"Bathroom, checkroom, lavatory, locker room",Candle,Linen; other than bedding,"Fabric, fiber, cotton, blends, rayon, wool",Other factor contributed to ignition,nan,nan,Investigate fire out on arrival,nan,None Present,Detectors Present,Unattended or unsupervised person,Multifamily dwellings,,nan,nan,Smoke
DC,0.0,3,2,2.0,0.0,10000.0,2.0,Y,U,U,DC_11001_01032012_0001105_0,N,2.0,24.0,2012,1,3,12,94874.34,1822.77,88.8,46.2,7.3,68.9,92.9,10.3,75.8,-1.1,53.0,18.4,0.13712485491626597,0.1553639529099652,N,5,8,2,2,8,not given_,5,not given_,not given_,not given_,29.1,0.8,0.0,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,50,41,83,,25,,1,2,,,,,,81,1,1229,,NEW YORK,AVE,NW,,WASHINGTON,DC,20005,,,0,0,0,0,U,599,NNN,,,Failure of equipment or heat source,"Service facilities, other","Heat, spark from friction","Conveyor belt, drive belt, V-belt",nan,Worn out,nan,nan,Incident command,nan,Undetermined,Undetermined,,Business office,,nan,nan,nan
DC,1.0,U,4,2.0,0.0,16.0,1.0,Y,1,N,DC_11001_01032012_0001195_0,N,2.0,225.0,2012,1,3,15,76059.69,1424.16,86.1,66.3,13.7,45.0,91.9,11.6,61.9,-0.6,38.0,33.5,0.0500881449575632,0.5942060592842993,N,0,1,UU_,UU_,UU_,not given_,4,not given_,UU_,not given_,7.3,0.6,0.0,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,05,UU,UU,,UU,,1,2,UU,,2,,,11,1,657,,F,ST,NE,,WASHINGTON,DC,20002,,,0,0,0,0,2,419,NNN,,NNN,Cause undetermined after investigation,"Entrance way, lobby",Undetermined,Undetermined,nan,Undetermined,Undetermined,nan,Extinguish,nan,None Present,Detectors Present,,1 or 2 family dwelling,,nan,,Heat
DC,1.0,2,2,2.0,0.0,100.0,-12.0,Y,1,N,DC_11001_01062012_0002813_0,N,4.0,150.0,2012,1,6,21,45462.18,1075.8600000000001,83.6,67.9,18.2,14.1,93.6,15.2,46.5,14.4,36.0,14.8,0.009193328599120972,0.970481546168167,N,2,1,1,8,8,not given_,4,not given_,3,7,14.7,1.0,0.1,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,21,00,99,,12,,1,2,30,71,3,,,11,1,4466,,PONDS,ST,NE,,WASHINGTON,DC,20019,,,0,0,0,0,1,419,NNN,,,Unintentional,Bedroom - < 5 persons; included are jail or prison,Heat source: other,Multiple items first ignited,nan,Heat source too close to combustibles.,"Soft goods, wearing apparel, other",71,Extinguish,nan,None Present,Detectors Present,,1 or 2 family dwelling,,nan,nan,Combination smoke - heat
DC,50.0,3,2,10.0,0.0,1000.0,2.0,Y,U,U,DC_11001_01072012_0003031_0,N,3.0,48.0,2012,1,7,11,98839.8,1625.4,88.1,50.6,10.2,55.6,91.2,9.4,64.4,2.2,85.0,13.0,0.10754472387866218,0.5029297381384495,N,2,8,UU_,UU_,2,UU_,4,not given_,not given_,not given_,36.9,0.8,0.0,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,24,UU,25,UU,UU,,1,2,,,,,,81,1,1330,,7TH,ST,NW,APT 2,WASHINGTON,DC,20001,,,0,0,0,0,U,429,NNN,,,Failure of equipment or heat source,"Cooking area, kitchen",Undetermined,Appliance housing or casing,Undetermined,Undetermined,nan,nan,Incident command,nan,Undetermined,Undetermined,,Multifamily dwellings,,nan,nan,nan
DC,1.0,2,2,2.0,0.0,1.0,2.0,Y,N,N,DC_11001_01072012_0003075_0,N,3.0,26.0,2012,1,7,13,79582.68000000001,1511.88,90.7,66.9,8.2,48.6,91.2,9.9,73.3,2.2,79.0,9.4,0.11943222325700889,0.3200166993159703,N,UU_,1,11,UU_,3,7,4,not given_,not given_,not given_,8.8,0.5,0.0,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,UU,UU,32,71,NN,,1,2,,,,,,11,1,3127,,WARDER,ST,NW,,WASHINGTON,DC,20010,,,0,0,0,0,2,419,NNN,,,Unintentional,Undetermined,Undetermined,"Bedding; blanket, sheet, comforter","Fabric, fiber, cotton, blends, rayon, wool",,nan,nan,Extinguish,nan,None Present,None Present,,1 or 2 family dwelling,,nan,nan,nan
DC,1.0,2,4,3.0,0.0,16.0,3.0,Y,1,N,DC_11001_01122012_0005418_0,N,2.0,69.0,2012,1,12,19,106645.59,1847.28,91.3,51.2,7.0,73.4,93.3,9.0,79.3,12.8,72.0,9.4,0.09552559059259104,0.22618171108820498,N,7,1,1,2,8,not given_,4,not given_,1,UU_,13.7,0.7,0.0,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,77,40,96,,12,,1,2,11,UU,1,,,11,1,1700,,15TH,ST,NW,,WASHINGTON,DC,20009,,,0,0,0,0,U,419,NNN,,,Unintentional,Roof surface: exterior,"Hot or smoldering object, other","Rubbish, trash, or waste",nan,Heat source too close to combustibles.,Exterior roof covering or finish,UU,Extinguish,nan,None Present,Detectors Present,,1 or 2 family dwelling,,nan,nan,Smoke
DC,1.0,2,2,2.0,1.0,1.0,-1.0,Y,1,N,DC_11001_01132012_0005751_0,N,4.0,45.0,2012,1,13,13,73856.37,1417.71,92.3,69.9,11.9,37.8,91.4,21.0,52.9,1.0,47.0,18.4,0.06304537521815008,0.75032722513089,N,1,1,11,4,8,6,4,not given_,not given_,not given_,9.3,0.1,0.1,Region 3 - Philadelphia,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,14,66,99,67,NN,,1,2,,,1,,,11,1,4510,,7TH,ST,NE,,WASHINGTON,DC,20017,,,0,0,0,0,2,419,NNN,,,Unintentional,"Common room, den, family room, living room, lounge",Candle,Multiple items first ignited,"Paper, including cellulose, waxed paper",,nan,nan,Extinguish,nan,None Present,Detectors Present,,1 or 2 family dwelling,,nan,nan,Smoke
